name,screen_name,location,followers_count,friends_count,tweet
Jaime,jclopes65,,102,380,Tem mais conteúdo que site com realizações do atual governo. https://t.co/uJhqOiFro5
triste e solitario demais pra qualquer coisa,Ryusniw,,42,174,RT @acababolsonaro: 1384 dias para o fim do governo Bolsonaro
Leandro Fortes,leandrofortes,"Brasília, Brasil",24637,934,"RT @zehdeabreu: Hahahahaha acaba o governo!

Decreto estabelece aplicação da Lei da Ficha Limpa para cargos de confiança do Executivo https…"
tiz quadros,tizquadros,,648,924,"RT @wilsondenotari: @UOLNoticias @pe_rrigo •Radicalismo,
•intolerância e
• conservadorismo 
Isso! Não pode! trazer nada d bom para o país.…"
�� Paulo Medina ��,br_paulomedina,São Paulo,109,159,"RT @JOAQUINTEIXElRA: A GRANDE REALIDADE É QUE O GOVERNO BOLSONARO É UMA DECEPÇÃO:

NÃO POSSO COMPRAR REVOLVER NAS AMERICANAS
ENCONTRO COM F…"
Roberto Oliveira,rlv_oliveira,,133,319,"RT @joaoamoedonovo: O governo foi bem sucedido e arrecadou na sexta-feira 2,4 bi com a concessão de 12 aeroportos. Que tal extinguir o fund…"
Thiago Lima,thiagolima_br,,97,1500,"RT @PastorMalafaia: O FILHO DO PRESIDENTE, Eduardo Bolsonaro, ajudaria muito mais ao governo do seu pai, parando de falar asneira. Poderia…"
Nathalia,naathaliabrito_,Brasília,330,263,"RT @JenioQuadros: Esse governo fez o Silas Malafaia dar uma opinião sensata e moderada 

Que momento difícil passamos https://t.co/BS0R9Hhp…"
RacWell���️‍�,Iluminadinha,"Rio de Janeiro, Brasil",504,350,"#LulaLivreSegundaSDV 
Foco do novo governo é acabar com SOCIALISMO.
E eu tentando até agora, achar o socialismo no Brasil �"
Aderlan,derlan_rX,"Rio de Janeiro, Brasil",1474,756,"RT @FreeFireMilGrau: ""Governo irá proibir o jogo Free Fire por induzir violências entre adolescentes""

Jogadores de Free Fire: https://t.co…"
marcelo silva,marcelosilva_to,Palmas - TO,5181,2355,RT @DinoDebochado: Eu vendo os apoiadores do Bolsonaro abandonando o governo https://t.co/lwA2ri7hJz
Diego Quiqueto�����,diegoquiqueto,,473,959,"RT @maryritalopes: Toda mentira ou omissåo da grobo sobre o governo será respondida por nós. 
Objetivo da grobo _ boicotar,  criminalizar e…"
DATE 28/03❣️,MyLifeIsYouLS,Ed ● TIU,3138,2142,RT @acababolso: 1385 dias para o fim do governo Bolsonaro
