name,screen_name,location,followers_count,friends_count,tweet
quem,_quelcmpllo,,188,215,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Lali ×,lascivando,Lá na coxa do Harry Styles,901,421,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Noce Massao,NoceMassao,Brasil,120,77,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
체리�,Cherry_2201,Brazil,757,1473,"RT @BuzzFeedNewsBR: Bolsonaro também diz que somente a mão de Deus mudará o Brasil, e ela começou a agir o salvando de um atentado, que ele…"
@OrionWay,josecarloscher2,,54,436,"RT @GsparNeto: ""O BRASIL ESTÁ POR CONHECER UM GOVERNO ATUANTE, QUE DÊ CERTO!
- OU O BOLSONARO TENHA ÊXITO OU OS MILITARES ASSUMEM O CONTROL…"
LuBordini,LuLubordini18,"São Sebastião, Brasil",22,191,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Everton Melo dos San,everton_quimica,,15,127,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Iara Pinheiro,Dalfolinho2,,1583,1351,RT @erikakokay: Classificar Bolsonaro de “nacionalista” é um escárnio. “Brasil acima de tudo” e “Pátria Amada Brasil” são slogans que não c…
bic azul,bicazul,São Paulo,145,666,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Ramom Costa Filho,RamomFil,"Boa Vista, Brasil",442,89,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Ivan Santos,arte_prima,Brasil,7900,7208,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Aspirante da Ursal (ex-KGB),derikw,Maringá Paraná Brasill,103,460,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Adriana,adrianapugliesi,São Paulo ,476,188,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Nat_,nrmc84,Brasil,39,287,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
NÃO A REFORMA DA PREVIDÊNCIA!!,ncsa65_19,Brasil,636,611,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
princesa da ursal,nanebtt,Brasil,132,188,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Ricardo Ribeiro,Ribeiro54srf,"João Pessoa, Brasil",696,1008,RT @derMutteralle: como o Brasil vai se livrar do pesadelo chamado governo jair bolsonaro?! #LulaLivreSegundaSDV #BolsonaroEnvergonhaOBrasil
Poder360,Poder360,"Brasília, Brazil",40061,1528,"Em encontro com Bolsonaro, Trump diz apoiar entrada do Brasil na OCDE. @JairBolsonaro @realDonaldTrump… https://t.co/2OqUaVWRPk"
Flavia Gomes,flagomesgg,"São Vicente, Brasil",15,176,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Ana Paula Rabadan,anapaularabadan,Brasil,484,436,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
"Professor, Poeta, Contista, Pesquisador, Chato",ThiagoFSR83,"Bayeux, Paraíba, Brasil",603,899,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Nina Tigret,realninatigret,"Porto Alegre, Brasil",68,438,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Marllon Barros,BarrosMarllon,"Timon, Maranhão",111,483,Governo Bolsonaro ajudará na extradição de brasileiros nos EUA. Bolsonaro faz um governo puxa-saco e lambe-botas de… https://t.co/pZkBp793N8
Andréa,Andrealimap,,125,111,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Boaventura F. Gloria,BoaventuraFGlor,,291,477,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Geraldo Gaspar Neto,GsparNeto,Brasil & Exterior. ,1253,2523,"""O BRASIL ESTÁ POR CONHECER UM GOVERNO ATUANTE, QUE DÊ CERTO!
- OU O BOLSONARO TENHA ÊXITO OU OS MILITARES ASSUMEM… https://t.co/T2C2WlJZ1a"
Júlio Gondim,J_Gondim,"São Luís, MA",820,964,RT @emirsader: Ex-embaixador do Brasil nos EUA diz que governo Bolsonaro afeta a soberania do país https://t.co/qm5pEXsA3t
TooBig,MrsBig8,"São Paulo, Brasil",2,28,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
Erica Malugani,EMalugani,,111,581,"RT @DCM_online: Governo Bolsonaro líquida o Brasil: “As portas estão abertas, podem entrar e comprar”, anuncia Paulo Guedes https://t.co/YM…"
Anna ���,AnnaPaula025,País das Maravilhas,131,287,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
dane(-se),daniloesteban97,"Hell, MI",787,916,"RT @heldersalomao: Nem tudo são Fake News. Em visita aos EUA, Bolsonaro disse uma verdade sobre seu governo.�

""O Brasil não é um terreno a…"
Izabel Weber,WeberIzabel,"Sao Paulo, Brazil",941,1147,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Henrique Gasque,gasqueee,"Rio Grande, Brasil",147,76,"RT @Glauber_Braga: O governo Bolsonaro acaba de assinar acordo que permite aos EUA lançar satélites e foguetes da base de Alcântara, Maranh…"
DILBERGALO,DILBERPD,,4551,3621,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Vinicius Badenes,ViniciusBadenes,"Rio de Janeiro, Brasil",20,217,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
☭Gustavo #LulaLivre Luiz,gussr,SAP/PR,2133,2487,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
Afrodite,Tucupi_,,260,200,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Rosa Vicente �,rosa_vicentee,Santo Andre - SP,1713,1107,"RT @gleisi: A viagem de Bolsonaro e seu governo aos EUA tem sido humilhante para o Brasil! Quem entrega seu país, não defende os seus, lamb…"
jnery,jmnery,,148,653,"RT @RogerioCorreia_: Bolsonaro envergonha o Brasil no mundo, mas ""tem"" um belo hino. “Aluga-se”, de Raul Seixas e Claudio Roberto Azeredo,…"
Fernando Palhano,Fernando_Palhan,,149,136,"RT @mariadorosario: Já é o reflexo da retirada de direitos e do desmonte do Estado brasileiro, que Bolsonaro tentará fazer. Quem achou q es…"
Milton A. dos Santos,Milton29157904,"Curitiba, Brasil",535,675,RT @allantercalivre: A crise que o governo Bolsonaro está gerando no Brasil fará a vida dos brasileiros mais parecida com a dos países de p…
talvane araujo,tmaaraujo,,49,468,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
