name,screen_name,location,followers_count,friends_count,tweet
Mil Vezes Flamengo,MilVezesFla,,23481,1265,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
Silvia  Simões Lyra,SimoesLyra,"São Paulo, Brasil",136,153,"RT @RenovaMidia: A Operação Calvário mira suposto esquemas de fraudes que envolve R$ 1,1 bilhão em contratos da Saúde do governo da #Paraíb…"
Alyce �,illegarmy,Hope Word.,77,96,RT @acababolsonaro: 1383 dias para o fim do governo Bolsonaro
Isabella,bells_isaa,Liverpool,199,178,RT @samiabomfim: O PSOL vai apresentar amanhã um Projeto de Decreto Legislativo para sustar o decreto de Bolsonaro que dispensa visto de en…
Henrique,Henri00que,,160,341,"RT @ColoradoLuccas: Juntos pelo RS. Nomeia já @EduardoLeite_ @DelegadoRanolfo 
@Valdeci13rs @DepJeferson @EnioBacci 
@RdGuaibaOficial @radi…"
DelMSz,DelmiraMathias,,1857,1723,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
Orlando Calheiros,AnarcoFino,Rio de Janeiro,18360,927,RT @PauloVieiraReal: Bolsonaro acha chique assinar QUALQUER contrato com o governo americano. É o típico Brasileiro médio que queria ter na…
��O�️atriota��,OPatri0ta,"Los Gatos, CA",3963,3708,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Thielos Hexa,MarceloMafsa,"Santa Rosa, Belo Horizonte",358,487,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Sou remista,GracySi33591410,,4,177,@LucianoSCblu @PastorMalafaia Esses babacas  e idiotas q vc mencionam são os cabeças desse governo! � � � �
Leonardo Faustino,LeofaustinoS,"Rio de Janeiro, Brasil",424,310,"A esquerda teme que o brasileiro seja independente, mais forte que o governo. Que ignore o politicamente correto, f… https://t.co/41cjLICyVc"
Luiz PC,luiz_pc,,612,409,"@VinciusBragaBr @sccp Não é mimimi não cara, ele disse isso a investidores e isso prejudica o clube que precisa e m… https://t.co/SpVq1MZfFu"
anacap,Caosonegador,,420,422,"Aí depois a polícia desvia essas armas para os bandidos

As únicas pessoas beneficiadas disso serão os bandidos e o… https://t.co/YIPd12vG2Y"
felipe ��‍♂️ #TS7,TS7coming,"Pará, Brasil",264,301,"RT @EfBianca: É patriota mas chama o Brasil de lixo. 

É contra a mamata mas gasta milhões no cartão corporativo. 

É um governo pautado na…"
ADB Bambú no Lombo,no_adb,"Sao Paulo, Brazil",325,469,RT @manoelmsgontijo: Moro busca acordo p/ troca de informações c/ a CIA e FBI; Pontes busca parceria c/ SpaceX e NASA; o PR Bolsonaro assin…
Leo Filipi,leofillus,"Recife, Brasil",393,376,"@matheusfreirebm Entendi amigo, por isso disse que não quis defender e nem atacar. E dei o terceiro exemplo, do gov… https://t.co/NsTc19aCuY"
Francisco LULA LIVRE Marcondes,FranciscoMarc13,"São Paulo, Brasil",185,713,RT @ptbrasil: Antonio Palocci depôs na Justiça Federal em uma ação contra @LulaOficial sobre a compra dos caças suecos no governo @dilmabr.…
Cecília,ccimanhaes,,555,648,RT @_ValenteBr17: Notícia URGENTE @folha @g1 @GloboNews imprensalixo FAKE. Imprensas q vivem de MIMIMI e notícias FAKE sobre @jairbolsonaro…
goth boy,gsmascarenhas,"Florianópolis, Brasil",285,287,"RT @eduardomoreira: O presidente viaja e o filho, que não é nada no governo, toca sua agenda em Brasilia. E quase ninguém acha isso uma mal…"
BrazilAnalysis,BrazilAnalysis,,137,500,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
Brasil Livre,BrazilOnTheSpot,"Brazil, São José dos Campos",382,686,"@lelispatricia Isso não é caridade lacradora. É socialismo, nada é seu, é tudo do governo. Logo, divida a sua rique… https://t.co/NCDjxUKkyL"
#ana clara�☀️��,PatrciaColares4,,319,408,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
Luciana,Luciana73783073,"Curitiba, Brasil",171,155,"@exame Certo o Maia!

Tramita um, articulação pro governo toda trabalhando junta, e tenta aprovar.

Depois, o outro… https://t.co/i1oiKvyj9v"
Vick,victorialira_,"Sorocaba, Brasil",150,106,"RT @EfBianca: É patriota mas chama o Brasil de lixo. 

É contra a mamata mas gasta milhões no cartão corporativo. 

É um governo pautado na…"
Coluna Esplanada,colunaesplanada,Brasília + 23 capitais,12182,42,"É festa no Governo, é dinheiro novo em caixa. Mas na ponta do lápis, só para citar um exemplo, a Infraero investiu… https://t.co/JsDWoe1Ziy"
Ellayne M da Silva,ellaynems,manaus,84,169,RT @duarteluiza_: Sou uma imigrante em situação regular em Hong Kong. Antes morei na França por 7 anos. Conheço inúmeros brasileiros irregu…
Funchal Notícias,funchalnoticias,"Funchal, Portugal",929,101,Governo cede espaço à “Contigo Teatro” no Centro Edmundo Bettencourt https://t.co/pTOYMhssEW https://t.co/oYV7VsHUP9
vitor,vitorsanctx,Curitiba,199,169,RT @ItaloPetraglia: Nenhum governo vai aguentar os bodybuilder ancap https://t.co/qoKBPzoy6v
Enoque,enoqueps,"Lagarto, Brasil",292,329,"RT @jairbolsonaro: Jornalistas maldosos falaram recentemente em mal estar no mercado gerado pelo governo. Pois bem, a Bolsa de Valores atin…"
Tarso Cabral Violin,TarsoCV,Curitiba - Paraná - Brasil,5040,2169,E pensar que o TRE-PR aplicou duas multas de mais de R$ 100 mil em mim sob pressão do então Governo Beto Richa...
lari,estupefalsa,,1885,1483,"sinto vergonha em ter o bubassauro como presidente, meu Deus! se como chefe de governo já estava ruim, como chefe d… https://t.co/7ByYDp3N4p"
Nando Fernandes❄,NandoFeOficial,"Rondônia, Brasil",39972,39470,RT @ptbrasiI: Antonio Palocci depôs na Justiça Federal em uma ação contra LulaOficial sobre a compra dos caças suecos no governo dilmabr. Q…
David,Davidcap_,,716,750,"RT @dkotscho2: Fácil, pq Haddad se negou a enxergar o óbvio. Não se descolou da corrupção do partido, não condenou a banda podre do PT. Nao…"
Renan Hzd,HerzaidRenan,,45,561,"RT @BrunoTSilva_90: #BolsonaroOrgulhodoBrasil #BolsonaroOrgulhaOBrasil 
Finalmente patriotas estão no comando do governo,  n pessoas c inte…"
camira,imcamisss,"Vila Mariana, São Paulo",360,153,RT @microgamesjogos: ultima crítica que vou fazer a esse governo https://t.co/47pxY6Oq3U
Rubinho Divinéia,RubinhoDivi,Brasil-Rio de Janeiro,984,1113,RT @guimaraes13PT: Bolsonaro é um perigo enorme para a paz mundial. O mundo está assustado com tamanha submissão do governo brasileiro aos…
