name,screen_name,location,followers_count,friends_count,tweet
Edony Emerson,Edon_y,Campina Grande - PB,8,44,"RT @jairbolsonaro: Hoje, foram arrendados mais 6 terminais portuários no Pará, superando novamente as expectativas. Total de 23 concessões…"
Cesar,CelCesar,São Luís,433,690,"RT @Ricamconsult: Números de crescimento econômico, geração de empregos e inflação, em geral, têm sido bons e a bolsa de valores bateu reco…"
Inis Saito,inis_saito,,230,208,@jairbolsonaro @mmeioambiente @TVNBR Um dos melhores ministros do governo.
Jomario José Duarte,JoseJomario,"Salvador, Brasil",50,12,"RT @filgmartin: Tive a oportunidade de me reunir hoje com os principais líderes de movimentos conservadores, vindos de todos os estados bra…"
Marcelo A Coelho ⚫️⚪,MarceloACoelho1,,3635,1618,RT @AntonioMonSampa: @mariadorosario @moema4 Tenho me espantado com a série de atitudes destrutivas desse governo. O espanto é menos pelas…
Geraldo Galindo,galindoluma,"Jardim Apipema, Salvador",324,405,@Matheuz_Jardim @alefrotabrasil @onyxlorenzoni @OsmarTerra Ele está certo tem que romper com essa quadrilha de mili… https://t.co/cX5u1A19RH
Paulo Penteado Filho,paulopen,"Salvador, Brasil",223,273,RT @DCM_online: Governo Bolsonaro acaba com pesquisas de opinião https://t.co/M1FkDiHViv
Patricia Brito,patsbrito,Brazil,84,120,"@MarceloFreixo Minha dúvida é se esses 13milhoes surgiram do nada, tipo cairam do céu ou brotaram da terra? Pq o go… https://t.co/yh3gOccvp8"
Antonio Siqueira,siqueira_as,"Rio de Janeiro, Brasil",678,173,"@MarceloFreixo Tem razão, Marcelo, a culpa não é do IBGE. É dos partidos  de esquerda, inclusive psol, que particip… https://t.co/NpnqyueNkJ"
will86,will86,São Paulo,371,2074,RT @bbcbrasil: #ArquivoBBC Há 50 anos o governo investe pesado em ações para manter a cidade livre de detritos e substâncias maléficas à sa…
Cleiton Dias,Ednirdiasm2,"Suzano, Brasil",191,1000,"RT @Sandman998: processo de autodestruição de uma pessoa...
não contente em se expor como ""super-ministro"" desse governo patético após ter…"
Policial disfarçada,jaquelinat,Trevas e Escuridão,171,184,"""a maioria da esquerda quer fazer oposição institucional ao governo. vai no congresso, faz um discurso, critica o g… https://t.co/kPPAypL4Wk"
Magna Cordeiro,cordeiro_magna,,67,223,"RT @paulazanelli: Zico responde reporter sobre o governo do Presidente Jair Bolsonaro.
� https://t.co/Cmqm7INWO6"
Ivan Batista,IvanBatista3,Brasil,92,589,"Alckmin chama governo de improvisado; Ciro diz que Brasil ""optou por idiota"" https://t.co/r1j4lfziNe"
Marcus Paulo ��,MarcusP95034716,,219,300,"RT @paulazanelli: Zico responde reporter sobre o governo do Presidente Jair Bolsonaro.
� https://t.co/Cmqm7INWO6"
josecarloslmkn,josecarlosmkn,"Rio de Janeiro, Brasil",685,1225,RT @W_Almeida92: A imprensa esquerdista de jornazistas quer estremecer o governo Bolsonaro com pesquisas compradas p sustentar que o govern…
Bassani ��,Pirigrino,"Belém, Brasil",130,305,RT @BlogdoNoblat: Que nota você dá aos primeiros 100 dias do governo Bolsonaro?
Katia Pimentel,katz22br,,1875,3261,"RT @randolfeap: Mais um fiasco do Governo. Mesmo abrindo o balcão de negócios, @Jairbolsonano não garante com os presidentes dos partidos q…"
Hugo,coutinho47hg,,693,686,"@math_baisi Psicologicamente falando
Isso aí é  até plausível 
Mas em relação ao plano de governo e estatísticas, isso aí é muita ignorância"
Yuri,duarteyuri_,"Juiz de Fora, Brasil",668,633,"RT @sensacionalista: Governo é tão atrasado que nem os relógios vão adiantar mais, diz analista https://t.co/1zgATrMmNQ"
Mauro Pickerell ⚾️⚾️⚾️,mpickerell2014,Macapá - Amapá,91,39,RT @LatuffCartoons: Por 220 dólares vc consegue em #Israel uma visita guiada ao local onde um militar israelense executou a sangue frio um…
Exú dos outros é refresco,acandidooliveir,São Berlondres do Champz,10,116,"RT @JenioQuadros: Quem diria que em 3 meses de governo o real e o maior  bolsominion arrependido seria o próprio Jair Bolsonaro

Que fase"
Coletivo pela Democracia,ColetivoPela,"Rio de Janeiro, Brasil",55,665,"RT @SF_Moro: Lançamos a campanha com uma palestra do Leandro Karnal (muito brilhante) e do Deputado Marcelo Calero, esta para ele relatar a…"
