name,screen_name,location,followers_count,friends_count,tweet
alluanaᶠᶠᶜ,uesamurai,~ZO/RJ~,943,540,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
Stef Peixoto,PeixotoStef,,176,375,"RT @jojopancada: Hoje no Lollapalooza.
Emociona ouvir o hino brasileiro cantado a plenos pulmões. https://t.co/HpkPIXOi3b"
Vitória ◟̽◞̽,Vsiqueiiraa,Instagram: @vitoriasiqueira2,1848,2438,"RT @larrydetetive: EXTREMAMENTE LENDÁRIO | Steve Aoki tocou Just Hold on, sua música com Louis, no Lollapalooza Brasil instantes atrás. � (…"
sanches.,sancheescaio,"Dourado, Brasil",89,87,RT @larossaw: o dia q o lollapalooza aceitar 1kg de arroz como ingresso talvez eu consiga ir
gabi,GabrielaViianna,"Rio de Janeiro, Brasil",293,236,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Rubs,nogueira_rubia,"São Paulo, Brasil",46,214,Eu só queria um ingresso para o Lollapalooza
mari ︽✵︽,midgxrdian,marvel flash 1d jacks zendaya,5505,5349,"RT @iniIotrob: os cara do lollapalooza reclamando que o pastel custa 15 e a fatia de pizza 18 

irmão tu pagou praticamente um salário míni…"
Um conceito,UmConceito,,20,76,"Eu queria que fosse assim, mais você não colabora. @maisasilva e  seu boy  nicholasarashiro, no 2o. dia do Festival… https://t.co/xa4u4sESbn"
lau,_mlsbastos,brasil,713,543,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Valhalla �,itsswal,"São Paulo, Litoral",791,1620,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
Crips Girl �,Rhyana_1005,"Penha Circular, Rio de Janeiro",514,563,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Raul Leal,ra_gif,"São Paulo, Brasil",271,74,"RT @jojopancada: Hoje no Lollapalooza.
Emociona ouvir o hino brasileiro cantado a plenos pulmões. https://t.co/HpkPIXOi3b"
TeleTelaBrasil,TeleTelaBrasil,,19653,11,"Kings of Leon esquece hits, mas acerta no repertório para fechar 2º dia do Lolla https://t.co/9j6sXYx5eC"
Beldade,mirueli,"São Paulo, Brasil",153,266,RT @poxaedil: Beber até achar que eu estou no lollapalooza vendo o arctic monkeys que eu gosto https://t.co/EKHtYxbn4l
surtada ☭,edlittlebear,Brasil,4439,3970,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
Paulo Lima,meninopaulinho1,"Belo Horizonte, Brasil",738,655,"inveja eu sinto é de quem tá no Lollapalooza, de vc eu sinto é pena"
KerVI,kerven_hrks,"Rio das Ostras, Brasil",199,329,Uma vontade com nome de queria estar no lollapalooza vendo o post malone
elizaa�,elisinhadsl,,69,176,"RT @iniIotrob: os cara do lollapalooza reclamando que o pastel custa 15 e a fatia de pizza 18 

irmão tu pagou praticamente um salário míni…"
karlota,eaikarlota,,73,80,RT @pierobl: O Lollapalooza continua a usar moradores de rua com pagamentos pífios para erguer seus palcos https://t.co/nJzGpCMJB8
���� // PERSONA.,Jinsloves,With @bts_twt,1223,265,RT @whomath: a única atração importante do lollapalooza esse ano https://t.co/BSk8eYOKaZ
carol,tidemilas,,2954,944,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
jomar,jaomarciod,Belo Horizonte,239,361,RT @Chediaco: lollapalooza completamente EVACUADO após o cheiro de post malone molhado da chuva matar 35 jovens na plateia
����,Mafe_Lino,"Uberlândia, Brasil",250,234,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Alex Cabral,alexrcabral1912,"Campos, RJ",110,460,"RT @Kendraekauani: O melhor diálogo na porta do Lollapalooza: 

- quanto é a água? 

- 5 conto

- nossa, que caro. me dá um desconto? 

- n…"
S.,Sarabrenna1,"Macapá, Brasil  ",420,437,RT @JllnsMelo: Queria mesmo é tá no Lollapalooza muito vibes
Vinicius,amorim_vz,"Araçatuba, Brasil",370,318,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Gøner,GonerLolly,Perto dos Índios do Embu,87,104,"RT @iniIotrob: os cara do lollapalooza reclamando que o pastel custa 15 e a fatia de pizza 18 

irmão tu pagou praticamente um salário míni…"
jubs,firmeza0,027,529,245,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
vitoria,branvitoria_,Lagoa Vermelha,552,606,RT @piclescupcake: kevin o chris no show do post malone foi com certeza o auge do lollapalooza e nada vai conseguir superar esse momento CA…
Hyan Lima,HyanLima7,"Rio de Janeiro, Brasil",53,91,RT @porralemos: 95% das pessoas que estão no Lollapalooza https://t.co/VMoB0zvzxB
infeliz,jvmolina11,"Birigui, Brasil",1276,448,RT @porralemos: 95% das pessoas que estão no Lollapalooza https://t.co/VMoB0zvzxB
ste star ster,mstangroy,the dirty dwag,1323,1055,"RT @HaddadDebochado: Que falta de respeito com o Presidente ein Lollapalooza? Amei, continua https://t.co/zCoGqGSmQq"
ricardo,ricardocoutins,"Vitória, ES",255,206,RT @confrade_: vc ja parou pra imaginar quantos vans tem nesse exato momento no Lollapalooza?
