name,screen_name,location,followers_count,friends_count,tweet
BBC News Brasil,bbcbrasil,"Londres, GB, e São Paulo, BR",2149401,883,#ArquivoBBC Há 50 anos o governo investe pesado em ações para manter a cidade livre de detritos e substâncias maléf… https://t.co/oMdKGlYKx0
Jorge AM,jorge_am_,"Canoas, Brasil",162,178,RT @VeraSilvaCamarg: Demonstrem com atitudes qual a real intenção do governo em melhorar o sistema prisional! A Susepe necessita de efetivo…
Julia �,fucklouistz,bts • sg • dl • oned • zm • gh,4687,3613,"RT @acababolso: 1366 dias para o fim do governo do 

“não nasci para ser presidente, nasci para ser militar”"
Ivana Campos,yvanacampos,Brasil- RJ,308,454,@andrizek Essa gente só pode ser doente. Vivem falando que o presidente é fascista e tentam de qualquer forma mostr… https://t.co/ldHEl6p8co
persona�,medllen,,246,368,"RT @LoveYouJoonie: Então, está acontecendo um protesto em Berlim exigindo atenção do governo as mudanças no clima e no meio ambiente e algu…"
Presidente da Ursal,blogdoeg,"Recife, Brasil",2629,1559,"Tudo que eu deitei sobre o governo Bolsonaro, aconteceu. Não sei se fico feliz ou triste. Que bosta de governo! �"
antonio evandro,evandro_bv,Brasíl,87,236,"RT @jairbolsonaro: Hoje, foram arrendados mais 6 terminais portuários no Pará, superando novamente as expectativas. Total de 23 concessões…"
WILLIAM ALMEIDA,WILLIAMENGCIVIL,"São Paulo, Brasil",94,351,"RT @SF_Moro: Lançamos a campanha com uma palestra do Leandro Karnal (muito brilhante) e do Deputado Marcelo Calero, esta para ele relatar a…"
najugada d+,anajualmd,gyn city,1722,906,"RT @JenioQuadros: Quem diria que em 3 meses de governo o real e o maior  bolsominion arrependido seria o próprio Jair Bolsonaro

Que fase"
Elcinei Almeida,elcineialmeida,Rio Preto da Eva/Am - Brasil,744,2237,"Esse ""governo"" do BOZO é uma piada pronta. https://t.co/uiEp4UHeFY"
Coletânea VPL,coletaneaVPL,"Porto Alegre, RS, Brasil",141,198,"RT @tuliogadelha: Esse governo não é um deserto de ideias, é um calabouço. Como não consegue lidar com a realidade, tenta distorcê-la para…"
Vitor Vieira,Videversus,"Porto Alegre, RS, Brazil",6006,2125,AGU diz que governo Bolsonaro vai abrir mão de 50% dos recursos judiciais previdenciários no STJ https://t.co/JjviHI9BAp
Daniel Júnior,cefivp,,864,1582,RT @AdrianoArgolo: É preciso mobilizar as massas contra a reforma da previdência criminosa do governo nazifascista do Bolsonaro! Temos que…
Camilla DSZ,Camilladsz,,387,518,"RT @SF_Moro: Lançamos a campanha com uma palestra do Leandro Karnal (muito brilhante) e do Deputado Marcelo Calero, esta para ele relatar a…"
Marcia Sauchella  #,msauchella,"Carapicuiba,SP",1651,2130,RT @carlosjordy: @MarceloFreixo 13 milhões de desempregados graças ao governo q você ajudou a eleger. Não é em 3 meses q se reconstrói os e…
Deus Vult,CapAntunes,Brasília-DF,138,313,"@MrChurchilllive @marilizpj Evidentemente que sim, embora ajudar n seja necessariamente criar. Existem uma série de… https://t.co/zTDuaeDbFh"
Marcio Bruno Maia,MarcioBrunoMaia,Barra Mansa - RJ,74,180,RT @carlosjordy: @MarceloFreixo 13 milhões de desempregados graças ao governo q você ajudou a eleger. Não é em 3 meses q se reconstrói os e…
Professora da ursal,darcblanc,,283,194,"RT @eGabrielAlves: O governo Bolsonaro se parece com a arca de Noé, juntaram um monte de animais e colocaram juntos."
Mauricio Fernandes,MB_Fernandes,Brazil,685,1167,RT @BlogdoNoblat: Que nota você dá aos primeiros 100 dias do governo Bolsonaro?
Neuli da Costa Passos,neuli_da,"Paranaguá, Brasil",294,474,RT @AdrianoArgolo: É preciso mobilizar as massas contra a reforma da previdência criminosa do governo nazifascista do Bolsonaro! Temos que…
Luiz Inácio Pereira,WagnerLuizPere5,,108,189,RT @senadorhumberto: Parece que até mesmo o jurista Miguel Reale Jr perdeu a paciência com o presidente de Jair Bolsonaro.  De acordo com e…
João Vitor,Cpt_JoaoVitorPB,"Porto Alegre, Rio Grande do Su",19,83,@SF_Moro Lamentável ser admitido qualquer envolvimento do leandro espiritural com qualquer atividade vinda desse governo. Ele não é digno
extrema imprensa,extremaimprensa,,1068,1414,"@quantocustaobr canalha, mamador de grana do governo, vagabundo e mentiroso"
Luiz Eloy Oliveira���,LuizEloy,São Paulo / SP / Brasil,1380,1565,"RT @filgmartin: Tive a oportunidade de me reunir hoje com os principais líderes de movimentos conservadores, vindos de todos os estados bra…"
EKersten,Lekersten,"Rio de Janeiro, Brasil",1611,2041,@gio_divanna @rfc74 @PPReacaRN @ryasousa1 @Athiabalba @ToncrysAmaral @V3ntoS @sirius_ari @bobjackk @USTRAFOREVER El… https://t.co/fS6dSp9vSg
꧁ﻝhØnдttдn꧂,Jhonatt25916680,Itapeva Sp Brasil,1997,2071,RT @BlogdoNoblat: Que nota você dá aos primeiros 100 dias do governo Bolsonaro?
������ ���� #LulaLivre,capo_wagner,"São Paulo, Brasil",872,2374,"RT @zeca_dirceu: Muitos reclamam dos embates, mas não dá para concordar com retrocessos. Corte no orçamento da educação é um atraso gigante…"
Agape,leiabooks,,3596,4997,"@BETHSIL53692821 @SF_Moro E oq falar do impeachment, água com açucar q o LeFEDORix @STF_oficial deu p DilmANTA?�  E… https://t.co/pCAhNAY8fZ"
Rodrigo Paratleta ��,RDCamargo1,"São José dos Campos, Brasil",1624,1011,@HavanaGrin @gio_divanna @PPReacaRN @97alternativa @vanadias @0_marcia @IoneAtuante17 @AlexNavarra10… https://t.co/hw7QTj3Tjw
Bruno Viana,brunoviana,"Fortaleza, CE",426,69,Agora tenho ctz q o tinhoso tá por trás desse governo https://t.co/5QeorbApyp
André Ribeiro de Mendonça �� �,andrermendonca,Barretos SP,3774,4989,RT @EribertoFreiras: Nova Propaganda Oficial do Governo Federal. Foi economizado 1 milhão e meio de reais pois não foi veiculada na Rede Gl…
rogerio_montana,rogeriomontana1,,7,8,"Nem deveria ter sido nomeado!!! Deve voltar pra Colômbia com urgência. Se e tão bom, logo encontra um ministério no… https://t.co/sFQHz1XRFY"
Denise �⚪ #LulaLivre,degaucha_inter,Lauro de Freitas/Bahia/Brasil,2205,2663,RT @ricardope: Ricardo Velez Rodriguez cai segunda-feira. O novo ministro da educação será do PSDB. Sai o maluco olavete entra o projeto pr…
Marco Oliveira,Marco_HOliveira,,15,39,"RT @Videversus: Em Harvard, Alckmin chama governo de “improvisado” e Ciro Gomes fala em iminência de “grande confusão” - salta na cara o qu…"
Dulci,Dulcineaazeved1,Brasil,16,131,RT @BlogdoNoblat: Que nota você dá aos primeiros 100 dias do governo Bolsonaro?
Lorena Moraes. SDV. Fã Do Bolsonaro ����☮️�️,LorenaMoraesss,"Pará, Norte, Brasil ",590,198,"RT @MarcosdeMorai13: @vanadias @Su_Sousa2019 Karnal é um bacharel em filosofia de esquerda, que porra de moral um esquerdista teórico sabe…"
RΣCRUTΔ �� CΔRLΩS,recrutacarlos,Brasil,6068,5539,"Após consultar a planilha das ações dos 100 dias do governo JB, elaborada por @DireitaEspectro , Francisco elege a… https://t.co/lxLsdgdDMC"
Fezudo,sant_fee,"Salto, Brasil",36,142,bolsonarianos ontem na aula sobre SUS na gestão Lula/Dilma: os profissionais eram bons mas o governo não colaborava… https://t.co/3tnOREy6lO
Abraao Junior,abraaojrscosta,,18,158,"@gleisi Olha se custar alguma coisa, será menos que o valor do assalto feito pelo PT por 13 anos no Governo Brasile… https://t.co/KAqIT45jll"
Samuel Feitosa,samufeitosa,,50,319,"RT @madeleinelacsko: Não é um governo, é a filial do #ClasseMediaSofre https://t.co/LSRic7VGij"
Dudinha,Dudacv_,"Brasília, Brasil",170,259,"Pela felicidade das pessoas, é o fim do governo do Bolsolixo https://t.co/FbqY3NPfOp"
Exú dos outros é refresco,acandidooliveir,São Berlondres do Champz,10,115,"@MalcomEcks @bobjackk ""Boneco de Ventrículo"" do governo...

Espero ter ajudado #paz"
Luiz Carlos Pacheco,lcpache,"Chapada dos Guimarães, Brasil",1459,2543,"Recomendo a todos que, quando sair matéria depreciativa contra nosso presidente @jairbolsonaro façam o comentario a… https://t.co/D7HVcf14QG"
carol,carolsouza338,"Triunfo, Brasil",588,479,a caneta de um safado do governo mata mais q um fuzil
Natanael B S Almeida,NatanaelBSAlme1,"Caucaia, Brasil",266,417,RT @carlosjordy: @MarceloFreixo 13 milhões de desempregados graças ao governo q você ajudou a eleger. Não é em 3 meses q se reconstrói os e…
FERNANDO FB,bnandosp,Sabara/SP,34,280,"RT @cafecomferri: Parece que o governo pegou no tranco da reforma da previdência hein...

Precisamos urgente que governo indique o @Eduardo…"
KS ♟,_QndoEuCrescer,,459,919,"Diferente do PAC do Lula que foi o maior planejamento de SUPERFATURAMENTO da HISTÓRIA...

Temos hoje no Governo Bol… https://t.co/OlpIof3BRZ"
Bruna,brupeiixoto,RJ,474,637,"RT @JenioQuadros: Quem diria que em 3 meses de governo o real e o maior  bolsominion arrependido seria o próprio Jair Bolsonaro

Que fase"
NiX,nixcad,"Sao Paulo, Brazil",22,33,@ludrsantos79 @MariaOdetePiuti @BolsonaroSP Gente.... não adianta argumentar. Deixa estar. Ninguém está defendendo… https://t.co/qoOXRtLxKR
Regina Milone,Regina_Milone,Rio de Janeiro - Brasil,204,343,"A coluna de Lauro Jardim, publicada no Globo, informa que o primo do vereador Carlos Bolsonaro, Leonardo de Jesus,… https://t.co/eeSi6wo5yM"
Luciana ��Amo meu país!,lusmpes,,483,776,@ManuelaDavila Para de babaquice... Que mané robô...reconheça que o povo está ao lado do presidente . @SF_Moro em 4… https://t.co/hnDBvxLUfe
Eliane Xavier,Ecmavier,,7,91,"RT @jairbolsonaro: Hoje, foram arrendados mais 6 terminais portuários no Pará, superando novamente as expectativas. Total de 23 concessões…"
Stan BTS. Stan Talent,winkmafia,,622,893,"RT @acababolso: 1366 dias para o fim do governo do 

“não nasci para ser presidente, nasci para ser militar”"
Camila Vieira,Cacomce,Brasil,366,412,"RT @vbfri: 100 dias de governo e o presidente fala que não nasceu pra ser presidente. 
Ou seja: esse governo chegou num patamar tão absurdo…"
Renan 1914,ReNaNSEP1942,,234,849,RT @BlogdoNoblat: Que nota você dá aos primeiros 100 dias do governo Bolsonaro?
Maete J Elias,j_maete,"Angra dos Reis, Brasil",254,293,"��DISCURSO EM REDE NACIONAL��
Presidente @jairbolsonaro, é fundamental dar um cala boca na extrema imprensa! 

Fale… https://t.co/e37FHfBRzk"
Fernando,Henriqand,,4,45,"RT @ColunaFabioAlve: PRIVATIZAÇÃO EM SP
E o governo de São Paulo anunciou hoje que concederá à iniciativa privada o Zoológico de São Paulo,…"
Ada Fronzzi,AdaFronzzi,,114,166,"@biazitagomes Nem conheço  amiga,mas se é  ofensivo e ainda por cima  defende  a palhaçada  desse governo,já  bloqueei."
Maria Luiza,marialcss,,9,56,@Nivea_FA @jairbolsonaro isso tá mais pra uma descrição do governo bolsonaro
