name,screen_name,location,followers_count,friends_count,tweet
Ione L. Cordeiro,IoneLCordeiro,,34,125,"RT @tofolario: Dois vendidos  ... Coronel Telhada e Delegado Olim ,que vergonha. Dois vermes traidores que votaram no PSDB e PT, COVARDES a…"
ιndιazιnнa - �,sad_burguesa,Primavera �,773,1029,"RT @zjmfamosa: a garota é privilegiada e nada é tão fácil como ela disse mas memes como esse e tweets como ""só ganhou pq é bonita"" ""dinheir…"
sunshine,suz4ne_,"Rio de Janeiro, Brasil",272,277,"RT @flrdelacourt: ""O Cara deu 30 facadas na mulher, quando vi achei que era um favelado, veio um moço branquinho, bonitinho, morou até na A…"
fufs,fhodac,,703,298,RT @lauraloguercio: meu deus não existe UM centímetro do corpo da mulher que não esteja sujeito à pressão estética plmdds https://t.co/wuhP…
Júlia,MatosJulia_,051,1024,548,uma mulher com sua tatuagem marcada não quer guerra com ninguém
giubs ENDGAME ︽✵︽,fadinhadott,Salvadô,169,236,RT @stevwnrogers: essa cena completa em capitã marvel foi uma das mais emocionantes do filme inteiro. não importa quantas vezes a carol cai…
98FM Apucarana,98fmapucarana,"Apucarana, Brasil",945,20,Homem tenta matar ex mulher em Apucarana. https://t.co/M3XLinD7DI
Emy,MorgensterArt,Brasil,499,1287,"@Kat_McNamara @DailyFrontRow @sunglasshut @MaisonValentino PQP PARIU, QUE MULHER É ESSA? É MUITO AMOR DA MINHA VIDA… https://t.co/aHEh832Yoe"
andre,marissarcooper,♍️,1526,792,"@ZeBueno @alberwt hm nao sei TALVEZ seja por intimidade com sua amiga?? se a amiga nao gosta pega e fala ue, gay na… https://t.co/6qdxOLNMYz"
bia �,milagreluan,,3885,2357,"RT @flrdelacourt: ""O Cara deu 30 facadas na mulher, quando vi achei que era um favelado, veio um moço branquinho, bonitinho, morou até na A…"
Cacura Card Captor,jvFREIRE,"Sao Paulo, Brazil",1000,785,Eu amo uma mulher https://t.co/3ByLUu5ihG
Jhenifer,jheni_raffa,"Jacareí, Brasil",54,49,afff essa mulher https://t.co/r5Su9KTw3P
Causen Rick,kaeda_,Mato Grosso,770,701,"RT @mellrealoficial: um dos piores esteriótipos femininos que eu odeio é esse FÉ NAS MALUCA

bicho não é legal ser extra ciumenta que não d…"
bruna,brun_suellen4,,97,190,"RT @debochadamesmo_: Se eu tiver namorando eu não gosto mesmo que curta ou reagi em foto de mulher nenhuma, não é nem por ciúmes, é porque…"
�� The two sides of Hoseok �✨,_fla12,"São Paulo, Brasil",177,294,"RT @lolaescreva: O horror da lesbofobia: em Angra dos Reis, homem assedia uma lésbica. No dia seguinte, ele a mata, e mata tb a namorada de…"
Mulher Imprensa Free,Mulher_Noticia,"Curitiba, Brasil",4118,2674,"RT @cafejornal: No Rio Grande do Sul, uma mulher escapou por muito pouco de ser atropelada. #BandJornalismo https://t.co/ynZkIZYN22"
Larissa,larilarissao,mg,459,301,aproveitando a repercussão: sigam uma mulher falando sobre feminismo ao invés de defenderem o direito de homens def… https://t.co/xMirHf9TVe
Cuscuz com ovo,clamaiali,São Luís - MA,615,467,"Só tiro mais uma vez que sempre vou ficar do lado da mulher! Incrível como homem consegue manipular não só uma, mas… https://t.co/81alD2JntT"
Gibizinha,debs_pfreitas,ES,541,289,"@estranho_no @clara_anaxxx Ah verdade é que ele tentou abusar de pessoas, e abusou de outras, e deve arcar com a re… https://t.co/7wnC7yoHR4"
Bia Bryan,BiaBryan,Brazil,318,293,"RT @andretrig: Uma aula de compaixão, empatia e exercício amoroso do poder. 
O exemplo vem da mulher que comanda a Nova Zelândia. https://t…"
viitória,cviih13,no seu coraçãozinho ,929,522,"""Pqp, a mulher mais louca q eu, q caralho"" kkkkkkkkkjkk"
ᴊᴜʟɪᴀ❁ᴠᴀɪ ɴᴀ ʟʏ ᴛᴏᴜʀ,myselfjjk,"Army,NCTzen127,Once e Arinator",166,268,"RT @Tia_Armyy: ""Em briga de marido e mulher ninguém mete a colher""

Teu cu, pois eu meto sim, e se agredir a mulher eu meto não é a colher…"
Pai do Franz,ricardojayme,"Brasília, Brasil",394,376,@GenuinoTeixeira @Dani_pasqualoto @RachelSherazade Ou o babaca de masculinidade frágil que mata a mulher depois de uma briga
stella,sttwlla,,929,646,a mulher que pode escolher entre quatro sabores de suco nao quer guerra com ninguem https://t.co/16VeY2ktGA
Mulher Imprensa Free,Mulher_Noticia,"Curitiba, Brasil",4118,2674,"RT @cafejornal: Moradores das proximidades do Rio Jaburu, em Ubajara, no Ceará, foram tiradas de casa por causa da possibilidade de rompime…"
Gabriella,G4BRISA,"Navegantes, Brasil",716,383,"RT @gabirippiofc: O ruim de ser meu ex, é que toda vez que você me olhar vai dizer ""não sei como deixei  essa mulher incrível e maravilhosa…"
anna,stwarlord,sp,12609,11008,@dcnhaut pior que nao KKKKKKKKKKK essa mulher é maluca
Matteus �,Matteus2tt,"Sao Paulo, Brazil",9,6,"vou dormir
me acordem quando mulher tiver sentimentos"
